@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-4,9-11,16-19'

@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
390,170,UP,RIGHT,True,True,False,True,DOWN,DOWN
390,170,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
40,330,UP,EQUAL,True,True,True,False,UP,UP
360,60,UP,EQUAL,True,True,True,False,UP,UP
80,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
350,70,EQUAL,EQUAL,True,True,True,False,UP,UP
430,120,UP,EQUAL,True,True,True,False,UP,UP
130,90,DOWN,LEFT,True,False,True,True,RIGHT,RIGHT
300,360,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
330,410,DOWN,LEFT,True,True,False,True,DOWN,DOWN
40,240,UP,LEFT,True,True,False,True,DOWN,DOWN
80,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
30,230,DOWN,LEFT,True,True,False,True,DOWN,DOWN
470,130,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
70,180,UP,EQUAL,True,True,True,False,UP,UP
420,90,DOWN,RIGHT,False,True,True,True,LEFT,LEFT
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
140,260,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
340,350,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
340,320,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
30,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
340,120,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
430,120,UP,EQUAL,True,True,True,False,UP,UP
200,280,EQUAL,LEFT,True,True,False,True,DOWN,DOWN
60,300,DOWN,LEFT,False,True,True,True,LEFT,LEFT
120,130,UP,LEFT,True,True,True,False,UP,UP
160,300,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
460,240,UP,LEFT,False,True,False,True,DOWN,LEFT
360,430,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
340,120,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
340,120,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
450,170,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
80,120,EQUAL,LEFT,True,True,True,False,UP,UP
460,240,UP,EQUAL,False,True,True,False,UP,UP
200,280,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
340,320,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
90,140,UP,EQUAL,True,True,True,False,UP,UP
30,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
220,70,UP,EQUAL,True,True,True,False,UP,UP
470,130,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
40,240,UP,LEFT,False,True,True,True,LEFT,LEFT
390,170,UP,RIGHT,True,True,True,False,UP,UP
400,240,DOWN,EQUAL,True,False,True,True,RIGHT,RIGHT
470,130,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
250,340,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
470,130,EQUAL,EQUAL,True,True,True,False,UP,UP
290,110,DOWN,RIGHT,False,True,True,True,LEFT,LEFT
120,330,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
250,340,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
440,420,DOWN,LEFT,True,True,False,True,DOWN,DOWN
200,280,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
420,90,UP,RIGHT,True,True,False,True,DOWN,DOWN
340,350,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
340,320,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
460,350,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
160,300,DOWN,LEFT,False,True,True,True,LEFT,LEFT
160,300,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
420,90,UP,LEFT,True,True,True,False,UP,UP
200,280,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
40,330,UP,LEFT,False,True,True,True,LEFT,LEFT
220,70,UP,EQUAL,True,True,True,False,UP,UP
220,70,UP,LEFT,False,True,True,True,LEFT,LEFT
390,360,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
70,180,UP,LEFT,False,True,True,True,LEFT,LEFT
370,340,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
80,120,UP,LEFT,False,True,True,True,LEFT,LEFT
440,430,DOWN,LEFT,True,True,True,False,UP,UP
180,220,UP,LEFT,False,True,True,True,LEFT,LEFT
220,70,UP,EQUAL,True,True,True,False,UP,UP
50,410,DOWN,LEFT,True,False,True,True,RIGHT,RIGHT
120,420,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
100,250,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
370,340,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
40,330,UP,EQUAL,True,True,True,False,UP,UP
250,340,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
230,290,UP,LEFT,False,True,True,True,LEFT,LEFT
180,220,UP,LEFT,False,True,True,True,LEFT,LEFT
80,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
90,30,UP,LEFT,True,True,True,False,UP,UP
350,70,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
290,110,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
120,130,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
360,60,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
80,120,DOWN,EQUAL,True,False,True,True,RIGHT,RIGHT
60,300,DOWN,EQUAL,True,False,True,True,RIGHT,RIGHT
120,420,DOWN,LEFT,True,True,False,True,DOWN,DOWN
120,130,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
30,230,DOWN,LEFT,True,True,False,True,DOWN,DOWN
200,280,DOWN,LEFT,True,False,True,True,RIGHT,DOWN
110,80,UP,LEFT,True,True,False,True,DOWN,DOWN
200,280,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
340,320,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
360,60,UP,RIGHT,True,True,True,False,UP,UP
460,240,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
60,300,DOWN,LEFT,False,True,True,True,LEFT,LEFT
50,410,DOWN,LEFT,False,True,True,True,LEFT,LEFT
140,260,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
130,250,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
140,260,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
340,120,EQUAL,EQUAL,False,True,True,True,LEFT,LEFT
200,280,DOWN,LEFT,True,False,True,True,DOWN,DOWN
420,90,UP,RIGHT,True,True,False,True,DOWN,DOWN
420,90,UP,LEFT,True,True,True,False,UP,UP
40,330,UP,LEFT,False,True,True,True,LEFT,LEFT
120,420,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
40,330,UP,LEFT,False,True,True,True,LEFT,LEFT
340,350,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
80,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
460,240,UP,LEFT,False,True,False,True,DOWN,DOWN
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
390,170,UP,RIGHT,True,True,False,True,LEFT,LEFT
40,240,UP,LEFT,False,True,True,True,LEFT,LEFT
350,70,DOWN,RIGHT,True,False,True,True,DOWN,DOWN
440,430,DOWN,LEFT,True,False,False,True,DOWN,DOWN
360,430,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
200,280,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
140,260,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
80,120,DOWN,LEFT,True,True,True,False,UP,LEFT
350,70,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
50,410,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
200,320,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
80,120,DOWN,EQUAL,False,True,False,True,DOWN,DOWN
340,120,DOWN,RIGHT,False,True,True,True,LEFT,LEFT
330,410,DOWN,LEFT,True,True,False,True,DOWN,DOWN
120,330,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
120,130,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
300,360,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
450,170,EQUAL,EQUAL,True,True,False,False,UP,UP
80,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
400,180,UP,RIGHT,True,True,True,False,UP,UP
360,130,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
210,330,EQUAL,EQUAL,True,True,True,False,UP,UP
340,350,EQUAL,RIGHT,True,True,False,True,DOWN,RIGHT
460,350,DOWN,RIGHT,True,True,True,False,UP,UP
460,240,UP,LEFT,False,True,False,True,DOWN,DOWN
440,430,DOWN,LEFT,True,True,False,True,DOWN,DOWN
50,410,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
430,120,EQUAL,EQUAL,True,True,True,False,UP,UP
390,170,DOWN,RIGHT,True,True,True,False,UP,RIGHT
130,90,UP,LEFT,False,True,True,True,LEFT,LEFT
370,340,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
40,330,UP,LEFT,False,True,True,True,LEFT,LEFT
390,170,UP,LEFT,False,True,True,True,LEFT,LEFT
400,180,UP,RIGHT,False,True,True,True,LEFT,UP
430,120,UP,EQUAL,True,True,True,False,UP,UP
440,430,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
80,110,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
70,180,UP,LEFT,False,True,True,True,LEFT,LEFT
80,230,UP,LEFT,True,True,True,False,UP,UP
360,430,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
120,130,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
60,300,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
200,280,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
390,360,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
90,140,UP,EQUAL,True,True,True,False,UP,UP
450,170,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
350,70,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
340,120,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
350,70,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
110,80,UP,LEFT,True,True,False,True,DOWN,DOWN
400,240,UP,EQUAL,False,True,True,False,UP,UP
370,340,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
460,240,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
290,110,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
400,180,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
340,320,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
40,330,UP,LEFT,False,True,True,True,LEFT,LEFT
290,110,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
50,10,UP,LEFT,True,True,True,False,UP,UP
80,120,DOWN,LEFT,True,True,True,False,UP,UP
90,140,UP,LEFT,False,True,True,True,LEFT,LEFT
110,80,UP,LEFT,True,True,False,True,DOWN,DOWN
160,300,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
80,120,UP,LEFT,True,True,True,False,UP,UP
200,280,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
450,170,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
60,300,DOWN,LEFT,False,True,True,True,LEFT,LEFT
440,430,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
100,250,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
400,240,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
80,120,DOWN,LEFT,True,False,True,True,RIGHT,RIGHT
300,360,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
470,130,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
360,60,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
390,170,UP,EQUAL,False,True,True,True,LEFT,UP
440,420,DOWN,LEFT,True,True,False,True,DOWN,DOWN
420,90,UP,RIGHT,True,False,True,True,RIGHT,DOWN
340,320,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
120,130,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
120,330,DOWN,RIGHT,True,True,False,True,RIGHT,RIGHT
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
80,120,DOWN,LEFT,True,False,True,True,RIGHT,RIGHT
340,120,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
80,110,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
80,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
80,120,UP,LEFT,True,True,True,False,LEFT,LEFT
400,180,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
440,420,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
420,90,UP,LEFT,True,True,True,False,UP,UP
80,120,UP,LEFT,True,True,True,False,UP,UP
460,240,UP,LEFT,False,True,False,True,DOWN,DOWN
80,120,UP,LEFT,True,True,True,False,UP,LEFT
350,70,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
70,180,UP,LEFT,False,True,True,True,LEFT,LEFT
300,170,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
300,170,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
360,430,UP,RIGHT,True,True,False,True,DOWN,DOWN
100,250,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
360,60,UP,RIGHT,True,True,True,False,UP,UP
80,120,UP,LEFT,True,True,True,False,UP,UP
50,410,EQUAL,RIGHT,True,True,False,True,RIGHT,RIGHT
400,240,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
370,340,DOWN,RIGHT,True,False,True,True,DOWN,DOWN
120,330,DOWN,LEFT,True,True,True,False,UP,UP
130,90,DOWN,EQUAL,True,False,True,True,RIGHT,RIGHT
260,200,UP,EQUAL,True,True,True,False,UP,UP
40,90,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
120,330,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
90,140,UP,LEFT,False,True,True,True,LEFT,LEFT
220,70,UP,EQUAL,True,True,True,False,UP,UP
360,60,UP,EQUAL,True,True,True,False,UP,UP
40,90,EQUAL,EQUAL,True,True,True,False,UP,UP
400,180,UP,RIGHT,False,True,True,True,LEFT,LEFT
60,300,DOWN,LEFT,False,True,True,True,LEFT,LEFT
60,300,DOWN,LEFT,False,True,True,True,LEFT,LEFT
110,80,UP,LEFT,True,True,False,True,DOWN,DOWN
290,110,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
90,30,UP,LEFT,True,True,True,False,UP,UP
460,240,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
440,420,DOWN,LEFT,True,True,False,True,DOWN,DOWN
360,60,UP,EQUAL,True,True,True,False,UP,UP
290,110,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
460,240,UP,LEFT,False,True,False,True,DOWN,DOWN
80,110,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
130,250,UP,RIGHT,True,True,True,False,RIGHT,RIGHT
230,290,UP,LEFT,False,True,True,True,LEFT,LEFT
70,180,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
420,90,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
360,60,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
40,240,UP,EQUAL,True,True,True,False,UP,UP
40,330,UP,LEFT,True,True,False,True,DOWN,DOWN
360,130,UP,LEFT,True,True,True,False,UP,UP
60,300,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
40,90,DOWN,LEFT,False,True,True,True,LEFT,LEFT
200,320,UP,LEFT,True,True,True,False,LEFT,LEFT
90,30,UP,LEFT,True,True,True,False,UP,UP
360,60,UP,EQUAL,True,True,True,False,UP,UP
360,430,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
40,90,DOWN,LEFT,False,True,True,True,LEFT,LEFT
460,350,DOWN,RIGHT,True,True,True,False,UP,UP
400,240,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
110,80,UP,LEFT,True,True,False,True,DOWN,DOWN
430,120,UP,EQUAL,True,True,True,False,UP,UP
80,120,EQUAL,LEFT,True,True,True,False,UP,UP
440,420,DOWN,LEFT,True,True,False,True,DOWN,DOWN
400,180,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
460,240,UP,EQUAL,False,True,True,False,UP,UP
40,90,DOWN,LEFT,False,True,True,True,LEFT,LEFT
220,70,UP,LEFT,False,True,True,True,LEFT,LEFT
90,140,UP,EQUAL,True,True,True,False,UP,UP
60,300,DOWN,LEFT,True,True,False,True,DOWN,DOWN
90,30,UP,LEFT,True,True,True,False,UP,UP
50,410,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
290,110,DOWN,RIGHT,True,True,False,True,DOWN,RIGHT
70,180,UP,RIGHT,True,True,True,False,UP,UP
300,360,EQUAL,RIGHT,True,True,False,True,DOWN,DOWN
390,360,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
370,340,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
70,180,UP,EQUAL,True,True,True,False,UP,UP
340,350,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
360,60,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
470,130,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
340,320,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
300,360,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
460,240,UP,EQUAL,True,True,True,False,UP,UP
70,180,UP,LEFT,False,True,True,True,LEFT,LEFT
440,430,EQUAL,EQUAL,True,True,True,False,UP,UP
50,10,UP,LEFT,True,True,True,False,UP,UP
90,140,UP,EQUAL,True,True,True,False,UP,UP
110,80,UP,LEFT,True,True,False,True,DOWN,DOWN
120,130,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
90,30,UP,LEFT,True,True,True,False,UP,UP
400,180,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
140,260,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
60,300,DOWN,LEFT,False,True,True,True,LEFT,LEFT
130,90,DOWN,LEFT,True,False,True,True,RIGHT,RIGHT
400,240,UP,LEFT,True,True,False,True,DOWN,DOWN
360,60,UP,EQUAL,True,True,True,False,UP,UP
100,250,EQUAL,EQUAL,True,False,True,True,RIGHT,RIGHT
430,120,UP,RIGHT,True,True,True,False,UP,UP
340,320,EQUAL,EQUAL,False,True,True,True,LEFT,LEFT
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
140,260,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
360,430,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
330,410,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
390,170,UP,LEFT,True,True,True,False,UP,UP
40,90,DOWN,LEFT,False,True,True,True,LEFT,LEFT
120,420,DOWN,EQUAL,False,True,True,True,LEFT,LEFT
130,250,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
90,30,UP,LEFT,True,True,True,False,UP,UP
430,120,UP,RIGHT,True,True,True,False,RIGHT,RIGHT
460,350,EQUAL,RIGHT,True,True,True,False,UP,UP
360,60,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
60,300,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
360,60,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
210,330,EQUAL,EQUAL,True,True,True,False,UP,UP
440,420,DOWN,LEFT,True,True,False,True,DOWN,DOWN
360,430,UP,EQUAL,True,False,True,False,UP,UP
40,330,UP,LEFT,False,True,True,True,LEFT,LEFT
30,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
350,70,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
100,250,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
80,230,UP,LEFT,True,True,True,False,UP,UP
80,120,UP,LEFT,True,True,True,False,UP,UP
450,170,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
50,410,DOWN,LEFT,False,True,True,True,LEFT,LEFT
400,240,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
120,330,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
200,280,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
360,430,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
400,240,UP,EQUAL,False,True,True,True,UP,UP
90,140,UP,LEFT,False,True,True,True,LEFT,LEFT
120,330,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
70,180,UP,RIGHT,True,True,True,False,UP,UP
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
60,300,DOWN,LEFT,False,True,True,True,LEFT,LEFT
60,300,DOWN,LEFT,True,False,True,True,RIGHT,DOWN
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
90,30,UP,LEFT,True,True,True,False,UP,UP
450,170,DOWN,RIGHT,False,True,True,True,LEFT,LEFT
440,430,DOWN,LEFT,True,True,False,True,DOWN,DOWN
60,300,DOWN,LEFT,True,False,True,True,DOWN,DOWN
180,220,UP,LEFT,False,True,True,True,LEFT,LEFT
80,110,DOWN,LEFT,True,False,True,True,RIGHT,RIGHT
340,320,DOWN,EQUAL,True,False,True,True,DOWN,DOWN
340,320,DOWN,EQUAL,True,False,True,True,RIGHT,DOWN
140,260,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
50,10,UP,LEFT,True,True,True,False,UP,UP
300,170,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
60,300,UP,LEFT,True,True,False,True,DOWN,DOWN
350,70,UP,RIGHT,True,True,True,False,UP,UP
100,250,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
400,180,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
390,170,DOWN,LEFT,True,False,True,True,RIGHT,RIGHT
120,130,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
330,410,DOWN,LEFT,True,True,False,True,DOWN,DOWN
60,300,UP,EQUAL,False,True,True,False,UP,UP
470,130,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
460,350,EQUAL,EQUAL,True,True,True,False,UP,UP
130,90,UP,LEFT,True,True,False,True,DOWN,LEFT
160,300,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
460,240,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
160,300,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
50,410,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
50,10,UP,LEFT,True,True,True,False,UP,UP
340,120,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
460,350,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
60,300,DOWN,LEFT,False,True,True,True,LEFT,LEFT
40,240,UP,LEFT,False,True,True,True,LEFT,LEFT
440,420,DOWN,LEFT,True,True,False,True,DOWN,DOWN
460,240,UP,LEFT,False,True,False,True,DOWN,DOWN
250,340,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
130,90,EQUAL,EQUAL,False,True,True,True,LEFT,LEFT
80,230,UP,LEFT,True,True,True,False,UP,UP
220,70,UP,EQUAL,True,True,True,False,UP,UP
60,300,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
50,10,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
340,350,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
200,320,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
340,320,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
340,120,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
360,430,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
220,70,UP,LEFT,False,True,True,True,LEFT,LEFT
460,240,DOWN,RIGHT,False,True,True,True,LEFT,LEFT
300,360,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
440,420,DOWN,LEFT,True,True,False,True,DOWN,DOWN
80,120,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
90,140,UP,EQUAL,True,True,True,False,UP,UP
300,360,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
90,140,UP,EQUAL,True,True,True,False,UP,UP
340,120,DOWN,RIGHT,False,True,True,True,DOWN,DOWN
90,140,UP,EQUAL,True,True,True,False,UP,UP
440,420,DOWN,LEFT,True,True,False,True,DOWN,DOWN
420,90,DOWN,EQUAL,False,True,True,True,LEFT,LEFT
30,450,DOWN,LEFT,True,False,True,False,UP,UP
200,320,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
300,360,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
50,10,UP,LEFT,True,True,True,False,UP,UP
230,290,DOWN,LEFT,True,True,False,True,DOWN,DOWN
70,180,UP,LEFT,False,True,True,True,LEFT,LEFT
60,300,UP,EQUAL,True,True,True,False,UP,UP
360,60,UP,RIGHT,True,True,True,False,UP,UP
220,70,UP,EQUAL,True,True,True,False,UP,UP
260,200,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
300,260,EQUAL,RIGHT,True,True,True,False,UP,UP
140,260,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
120,420,DOWN,LEFT,True,False,True,True,DOWN,DOWN
30,230,DOWN,LEFT,False,True,True,True,LEFT,DOWN
300,260,EQUAL,RIGHT,True,True,False,True,RIGHT,RIGHT
360,60,UP,EQUAL,True,True,True,False,UP,UP
30,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
160,300,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
340,120,UP,RIGHT,True,True,False,True,DOWN,DOWN
360,60,UP,RIGHT,True,True,True,False,RIGHT,RIGHT
300,170,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
390,170,DOWN,LEFT,True,False,True,True,DOWN,DOWN
90,140,UP,EQUAL,True,True,True,False,UP,UP
330,410,DOWN,LEFT,True,True,False,True,DOWN,DOWN
120,330,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
110,80,UP,LEFT,True,True,False,True,DOWN,DOWN
300,360,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
130,90,EQUAL,EQUAL,False,True,True,True,LEFT,LEFT
30,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
40,90,DOWN,LEFT,True,True,True,False,UP,LEFT
200,320,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
130,250,UP,LEFT,True,False,True,True,RIGHT,RIGHT
50,410,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
90,30,UP,LEFT,True,True,True,False,UP,UP
340,320,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
90,30,UP,LEFT,True,True,True,False,UP,UP
440,420,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
360,430,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
400,240,DOWN,RIGHT,True,True,True,False,UP,UP
30,230,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
40,240,UP,EQUAL,True,True,True,False,UP,UP
370,340,DOWN,RIGHT,True,True,True,False,UP,UP
420,90,UP,RIGHT,True,True,False,True,RIGHT,RIGHT
400,240,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
370,340,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
230,290,DOWN,LEFT,True,True,False,True,DOWN,DOWN
